song,artist,release_year,composed,genre,appearances,also_performed_by,rating
Fascinating Rhythm,Jackie Gleason,Unknown,George Gershwin,None,2,252,3
Fascinating Rhythm,Jackie Gleason,Unknown,George Gershwin,None,2,252,3
Fascination,Liberace,1993,Maxwell Anderson,None,6,0,None
For Lovin' Me,"Peter, Paul and Mary",1965,Gordon Lightfoot,Pop/Rock,5,19,4
Faster Kill Pussycat,Brittany Murphy / Paul Oakenfold,2006,Ian Green,Electronic,5,1,None
"Messiah, oratorio, HWV 56~Hallelujah",Canadian Brass,1941,George Frederick Handel,Classical,1,0,2.1
Fat F**ks,Denis Leary,1997,Denis Leary,Quirky,1,0,3.333333333
Fat Guy on the Plane,Denis Leary,2004,Denis Leary,None,1,0,3
For Lovin' Me,"Peter, Paul and Mary",1965,Gordon Lightfoot,Pop/Rock,5,19,4
Favorite Song,Jonathan Edwards,1976,Jonathan Edwards,None,1,0,2
Favorite Time of Year,Carrie Underwood,2020,Chris DeStefano,None,13,0,3
Favourite Things,Fred Penner,1994,Fred Penner,None,3,0,3.75
Nocturne for string orchestra (arranged by Malcolm Sargent from String Quartet No. 2),Eugene Ormandy,1929,Alexander Borodin,Classical,2,10,2.6
For Lovin' Me,Gordon Lightfoot,1966,Gordon Lightfoot,Pop/Rock,18,19,3.916666667
Feed Your Mind,Paul Oakenfold,2008,Paul Oakenfold,None,1,1,3.5
Feel So Bad,Little Milton,1967,Lightnin' Hopkins,None,2,3,3.75
I Pity the Fool,"Bobby ""Blue"" Bland",1974,Deadric Malone,R&B,28,19,4
Mexicali Rose,Gene Autry,1970,Helen Stone,Country,30,44,3.3
Felicidade,Hugh Masekela,1994,Vinícius de Moraes,None,3,109,4.333333333
Felt Good on My Lips,Tim McGraw,2010,Brett Beavers,None,5,2,4.125
Slow Fade,Casting Crowns,2007,Mark Hall,Pop/Rock,3,0,4.68
I Ride an Old Paint,Riders in the Sky,1982,Traditional,Country,5,19,3.633333333
Fifties Country,Robin & Linda Williams,1984,Jerome Clark,None,2,0,4.25
Fifty Ways to Leave Your Lover,King's Singers,2000,Thomas Weelkes,None,2,0,None
Fifty Ways to Leave Your Lover,King's Singers,2000,Thomas Weelkes,None,2,0,None
Fighting for Strangers,Steeleye Span,1976,Traditional,Reflective,4,1,4.375
Take Me Back to Tulsa,Bob Wills,1960,Tommy Duncan,Country,15,44,3.3
Finale,Oscar Hammerstein II / Jerome Kern,2013,Jerome Kern,None,1,0,None
Finale,Irving Berlin,1954,Irving Berlin,None,2,1,2.75
"Messiah, oratorio, HWV 56~Hallelujah",Canadian Brass,1941,George Frederick Handel,Classical,1,0,2.1
"Prélude à l'après-midi d'un faune (Prelude to the Afternoon of a Faun), for orchestra, L. 86",London Symphony Orchestra,1938,Claude Debussy,Classical,3,0,2.1
Spencer the Rover,John Martyn,1974,Traditional,Folk,11,0,2.071428571
"Good King Wenceslas (Piae Cantiones, 1582)",Canadian Brass,2001,John Mason Neale,Religious,1,43,3.5
Find the Numbers in Your House,Barney,1999,Angelo Natalie,None,2,0,3
Chug-A-Lug,Roger Miller,1964,Roger Miller,Country,56,9,2.682352941
Ranger's Command,Woody Guthrie,1964,Woody Guthrie,Folk,21,9,1.625
Sonora's Death Row,Leo Kottke,1978,Kevin Blackie Farrell,Folk,3,7,1
Amazing Grace,Canadian Brass,1987,John Newton,Happy,5,8,1.5
"Sussex Carol (""On Christmas Night"")",King's College Choir of Cambridge,1934,Traditional,Classical,5,0,2.45
Finest Girl (Bin Laden Song),The Lonely Island,2016,Nash Overstreet,None,2,0,None
Finger Breaker,Dick Hyman,1992,Jelly Roll Morton,None,1,4,5
Chelsea Morning,Judy Collins,1969,Joni Mitchell,Folk,7,19,2
"Finlandia, Op. 26",Cincinnati Pops Orchestra,1999,Jean Sibelius,None,3,12,None
Firn Di Mekhutonim Aheym,Klezmer Conservatory Band / Itzhak Perlman,1995,Naftule Brandwein,None,2,3,4.25
Firn Di Mekhutonim Aheym,Klezmer Conservatory Band / Itzhak Perlman,1995,Naftule Brandwein,None,2,3,4.25
First Born,Kate & Anna McGarrigle,1977,Kate McGarrigle,None,1,2,4
First Construction in Metal,John Cage,1994,John Cage,None,1,0,None
Cold Women With Warm Hearts,Albert King,1976,Sir Mack Rice,Blues,13,9,2.9
Old Toy Trains,Roger Miller,1991,Roger Miller,Holiday,7,19,3.9
Fish and Chips and Vinegar,"Sharon, Lois & Bram",1995,Sharon Hampson,None,3,0,None
Fish Beach,Michael Nyman,1988,Michael Nyman,Stage,6,0,4.25
Fisherman's Dream,John Martyn,1984,John Martyn,None,11,3,3.4375
Coming into Los Angeles,Arlo Guthrie,1969,Arlo Guthrie,Folk,16,8,1.909090909
Fishin' Blues,Taj Mahal,1969,Taj Mahal,None,4,0,3.833333333
Fishing Blues,Mike Seeger,2007,Andrew Jenkins,None,1,0,4
The Lonely Shepherd,Gheorghe Zamfir,1980,James Last,Easy,4,19,3.833333333
"Five Clouds, Lenticular",Ottmar Liebert / Luna Negra,2012,Ottmar Liebert,None,1,0,4
Five Little Monkeys,Bram / Lois / Sharon / Toddler's Next Steps,2002,Traditional,None,1,24,3
Five Long Years,Pinetop Perkins,1998,Eddie Boyd,None,2,78,3
"Five, for any 5 voices or instruments",John Cage,1998,John Cage,None,1,0,5
"Flashback to 1956: How Do You Spell ""Cassiopeia""",Christine Lavin,2004,Christine Lavin,None,1,0,3.5
England Swings,Roger Miller,1965,Roger Miller,Country,51,9,2.619444444
fLh,Autechre,2018,Ronald Bronstein,None,2,0,4.25
"Quando, Quando, Quando",Engelbert Humperdinck,1966,Tony Renis,Easy,11,41,3.25
Flight of the Bumblebee,Vladimir Horowitz,2012,Wolfgang Amadeus Mozart,None,1,0,None
Flight of the Humble Bee,L. Subramaniam,1999,L. Subramaniam,None,1,0,1.5
Flip Ya Lid,Nightmares on Wax,2008,George Evelyn,None,4,0,4
Flippin' Out,"Clarence ""Gatemouth"" Brown",1982,"Clarence ""Gatemouth"" Brown",None,3,0,3.666666667
Floating Candyman,Philip Glass,2001,Philip Glass,None,2,0,3
Flower Girl of Bordeaux,Esquivel,1995,Irving Mills,None,1,0,4.5
Flower Lady,Phil Ochs,1967,Phil Ochs,Pop/Rock,5,4,4.2
"Evergreen (Love Theme From ""A Star Is Born"")",Kris Kristofferson / Barbra Streisand,1976,Barbra Streisand,Pop/Rock,1,18,4
Love Can Build a Bridge,The Judds,1990,John Barlow Jarvis,Country,33,9,2.975
Fluffy,Dr. Demento / Fred Schneider,2018,Benny Bell,None,1,0,3.5
Flute Concerto No. 8 in G major~Allegro,James Galway / London Mozart Players,2001,François Devienne,None,1,0,5
'Til I Get It Right,Tammy Wynette,1972,Larry Henley,Country,26,9,2.947058824
Into the Unknown,Idina Menzel,2019,Kristen Anderson-Lopez,R&B,2,18,4
Flyin',Bob McGrath,1995,Jim Keller,None,2,0,3.5
Flying,George Winston,1985,George Winston,None,1,14,5
Star Wars~Main Title,Utah Symphony,1983,John Williams,Stage,3,18,3.8
Flying Southern Comfort,Rodney Dangerfield,1990,Rodney Dangerfield,None,3,0,3.166666667
"Il Trovatore, opera~Condotta ell'era in ceppi",Giuseppe Verdi,1937,Giuseppe Verdi,Classical,1,1,0.7
Chelsea Morning,Judy Collins,1969,Joni Mitchell,Folk,7,19,2
Santa Claus Is Back in Town,Dwight Yoakam,1988,Jerry Leiber,Holiday,8,41,3.25
Stinkin' Up the Great Outdoors,Spinal Tap,1992,David St. Hubbins,Pop/Rock,1,0,4.936619718
Traveling Riverside Blues,Robert Johnson,1936,Robert Johnson,Blues,27,18,3.71875
"Otello, opera~Esultate",Giuseppe Verdi,1937,Giuseppe Verdi,Classical,1,1,0.7
Babalu,Xavier Cugat,1995,Margarita Lecuona,Latin,5,8,3
Footprints,Juan Atkins / Moritz von Oswald,2013,None,None,2,0,None
All My Ex's Live in Texas,George Strait,1987,Lyndia Shafer,Country,19,17,3.75
Tarzan,"Johnny ""Guitar"" Watson",1977,"Johnny ""Guitar"" Watson",R&B,9,0,5
Amarillo by Morning,George Strait,1982,Paul Fraser,Country,26,17,3.911111111
Cada Noche un Amor,Agustín Lara,1983,Agustín Lara,International,18,17,3.9
Chattahoochee,Alan Jackson,1992,Alan Jackson,Country,16,17,3.8625
"A Christmas Carol, song for voice & piano, S. 228 (K. 6B27d)",Chanticleer,1995,Charles Ives,Calm/Peaceful,3,8,2.666666667
For Real,Tricky,2002,Rich Keller,None,1,1,4
For the First Time In Forever,Kristen Bell / Idina Menzel,2013,Kristen Anderson-Lopez,R&B,4,11,None
The Bells of Dublin/Christmas Eve,The Chieftains,1991,Paddy Moloney,Holiday,3,0,4.833333333
Memory,Barbra Streisand,1981,Andrew Lloyd Webber,Stage,6,17,3.8
No Place to Fall,Townes Van Zandt,1977,Townes Van Zandt,Country,10,17,3.577777778
Force 51,Austin Leeds / Sasha & John Digweed,2000,Austin Leeds,None,1,2,3
Rex's Blues,Townes Van Zandt,1977,Townes Van Zandt,Country,5,17,3.6
Forest Lawn,Tom Paxton,1970,Tom Paxton,None,3,2,4.166666667
Forest Lawn,Tom Paxton,1970,Tom Paxton,None,3,2,4.166666667
Forever,The Statler Brothers,1995,Jimmy Fortune,Country,4,0,4.05
Back in the Saddle Again,Gene Autry,1968,Gene Autry,Country,61,40,3.454761905
Blue Seven,Ron Carter / Houston Person,1990,Sonny Rollins,Jazz,5,16,3.925
Forever and for Always,Shania Twain,2002,"Robert John ""Mutt"" Lange",Country,18,12,4.133333333
"Go Tell It on the Mountain, Christmas song (American)",Canadian Brass,2003,Traditional,Easy,1,16,4
Forgotten Dreams,Leroy Anderson,2008,Leroy Anderson,None,1,7,3
Format & Journey North,Oneohtrix Point Never,2009,Daniel Lopatin,None,2,0,4
"Go Tell It on the Mountain, Christmas song (American)",Canadian Brass,2003,Traditional,Easy,1,16,4
Letters Have No Arms,Ernest Tubb,1959,Arbie Gibson,Country,14,16,3.981818182
Four Four North,Leo Kottke,1986,Leo Kottke,None,2,0,3.75
Four Four North,Leo Kottke,1986,Leo Kottke,None,2,0,3.75
Melancholy Serenade,Jackie Gleason,1954,Jackie Gleason,Easy,8,16,3.75
Four in the Morning,John Barry,1992,John Barry,None,8,0,3
Four in the Morning,John Barry,1992,John Barry,None,8,0,3
four of seven,Autechre,2018,Ronald Bronstein,None,2,0,4.5
Four Studies in A,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Four Studies in B,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Four Studies in G,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Hard Travelin',Woody Guthrie,1962,Woody Guthrie,Folk,18,19,2.25
Frankie And Albert,Taj Mahal / The Pointer Sisters,1972,Mississippi John Hurt,None,9,6,3.75
Frankie Machine,Elmer Bernstein / Elmer Bernstein Orchestra / Shorty Rogers,1997,Elmer Bernstein,Romantic,1,2,4.214285714
Melancholy Serenade,Jackie Gleason,1954,Jackie Gleason,Easy,8,16,3.75
Fransoazig,Jerome Kern,1999,Traditional,None,1,1,None
"Fratres, For Strings and Percussion",Arvo Pärt,2013,Arvo Pärt,None,1,2,None
"Fratres, For Strings and Percussion",Arvo Pärt,2013,Arvo Pärt,None,1,2,None
"Fratres, for violin & piano",Arvo Pärt,1984,Arvo Pärt,None,1,3,5
"Fratres, for violin & piano",Arvo Pärt,1984,Arvo Pärt,None,1,3,5
Freakin' at the Freakers' Ball,Dr. Hook & the Medicine Show,2005,Shel Silverstein,None,1,5,4.5
Everybody's Had the Blues,Merle Haggard,1973,Merle Haggard,Country,44,8,2.8
Freaky,Larry Heard,2000,Larry Heard,None,1,0,3
Freaky Deaky,Roy Ayers,1978,Roy Ayers,Brooding,4,0,3.875
Everybody's Had the Blues,Merle Haggard,1973,Merle Haggard,Country,44,8,2.8
Freedom Highway,Rhiannon Giddens,2016,"Roebuck ""Pops"" Staples",None,2,8,5
Freezing,Philip Glass,1986,Philip Glass,None,2,1,4.5
Tecumseh Valley,Townes Van Zandt,1968,Townes Van Zandt,Country,14,16,3.591666667
French Toast Bread Pudding,Christine Lavin,2006,Christine Lavin,None,1,0,3.5
Green Eyes,Xavier Cugat,1954,Nilo Menendez,Easy,10,8,2.888888889
Frenesi (Cancion Tropical),André Kostelanetz,2000,Alberto Dominguez,None,1,1,3
Lemon Tree,"Peter, Paul and Mary",1962,Will Holt,Folk,9,19,2.3125
Fresh as a Sweet Sunday Morning,Bert Jansch,1974,Bert Jansch,None,4,2,4
Fried Neck Bones and Some Home Fries,Willie Bobo,2003,Willie Bobo,None,7,2,3
Friends in Love,Johnny Mathis / Dionne Warwick,1982,Bill Champlin,None,12,3,3.333333333
Friends in Low Places,Garth Brooks,1990,DeWayne Blackwell,Country,7,36,4.05
Friska,Moondog,1971,Moondog,None,2,0,3
Froggie Went A-Courtin',Laurie Berkner,1999,Laurie Berkner,None,3,0,3.5
From One To Nine,Moondog,2005,Moondog,None,1,2,5
The Last Waltz,Engelbert Humperdinck,1987,Richie Adams,Pop/Rock,30,0,4.57
The Nick of Time,Tom Chapin,1988,Tom Chapin,Children's,1,0,5
From This Moment On,Plácido Domingo,2012,"Robert John ""Mutt"" Lange",None,1,34,None
From This Moment On,Plácido Domingo,2012,"Robert John ""Mutt"" Lange",None,1,34,None
Weekend,Todd Terry,1995,Leroy Burgess,Pop/Rock,5,16,4
Frosch,Mouse on Mars,1994,Andi Toma,Electronic,2,0,3.15
Frosty,"Clarence ""Gatemouth"" Brown",1981,Albert Collins,Romantic,6,13,4.071428571
Frosty the Snowman,The Chipmunks / David Seville,2020,Steve Nelson,None,2,45,None
Frosty The Snowman,Ella Fitzgerald,2001,Steve Nelson,None,149,45,4
In the Summertime,Roger Miller,1965,Roger Miller,Country,22,8,2.838461538
Touch Me,Willie Nelson & Friends,1962,Willie Nelson,Country,52,8,2.8
You Can't Roller Skate in a Buffalo Herd,Roger Miller,1965,Roger Miller,Country,39,8,2.8
The Soul and the Atma,John Handy / Ali Akbar Khan,1975,Ali Akbar Khan,Jazz,2,0,4.55
If I Had a Hammer,"Peter, Paul and Mary",1962,Mark Eitzel,Folk,2,8,2.75
If I Had a Hammer,"Peter, Paul and Mary",1962,Mark Eitzel,Folk,2,8,2.75
"Love Walked In, song (from the The Goldwyn Follies, film)",Kiri Te Kanawa,1927,George Gershwin,Classical,2,8,2.7
"Fugue XXIII: W.T.C., #I",,2000,Johann Sebastian Bach,None,1,0,3
Fulani Rock,Baaba Maal,2016,None,None,1,0,3.5
"Funérailles, Harmonies poétiques et religieuses No. 7, S. 173/7",Vladimir Horowitz,2014,Franz Liszt,None,1,0,4.5
Lemon Tree,"Peter, Paul and Mary",1962,Will Holt,Folk,9,19,2.3125
Lemon Tree,"Peter, Paul and Mary",1962,Will Holt,Folk,9,19,2.3125
Funk Beyond the Call of Duty,"Johnny ""Guitar"" Watson",1977,"Johnny ""Guitar"" Watson",R&B,13,0,4.25
Breakfast at Tiffany's,Henry Mancini,1966,Henry Mancini,Easy,9,15,3.666666667
Back in the Saddle Again,Gene Autry,1968,Gene Autry,Country,61,40,3.454761905
There But for Fortune,Phil Ochs,1972,Phil Ochs,Folk,16,19,2.464285714
New York Town,Woody Guthrie / Cisco Houston,1999,Woody Guthrie,Folk,2,7,1.75
"Fur Elise, Woo 59",Baby Einstein,2010,Ludwig van Beethoven,None,1,3,None
Fusion,Sasha & John Digweed / Slacker,2000,None,None,1,0,3
Fussy Eater (Part 1),George Carlin,1981,George Carlin,None,1,0,4
G Song,Terry Riley,2012,Terry Riley,None,2,0,3.5
Hallelujah,Mannheim Steamroller,2001,George Frederick Handel,Holiday,3,18,2.5
Theme,Moondog,1969,Louis Hardin,Aggressive,3,0,5
I Ain't Got You,Jimmy Reed,1959,Clarence Carter,Blues,20,15,3.633333333
Back in the Saddle Again,Gene Autry,1968,Gene Autry,Country,61,40,3.454761905
Gamblers Blues,Memphis Slim,1985,Big Bill Broonzy,None,15,0,3.25
Diamonds and Rust,Joan Baez,1975,Joan Baez,Folk,39,18,2.1
Timbarma,Ali Farka Touré,1988,Ali Farka Touré,International,3,0,4.666666667
Little Martha,Leo Kottke,1986,Duane Allman,Folk,3,18,2.333333333
Garbageman,Dr. Demento / William Shatner,2018,Cy Coben,None,1,0,3.5
I Went to Your Wedding,Hank Snow,1969,Jessie Mae Robinson,Country,14,15,3.728571429
Garden State Stomp,Dave Van Ronk,1985,Dave Van Ronk,None,4,1,3.666666667
Garland of Flowers,John Handy / Ali Akbar Khan / L. Subramaniam,1981,John Handy,Jazz,2,0,4.05
Gaslighter,The Chicks,2020,Mary Francis,None,1,0,4
Gate Walks to Board,"Clarence ""Gatemouth"" Brown",1984,"Clarence ""Gatemouth"" Brown",None,7,0,3.75
Honky Tonk Man,Dwight Yoakam,1986,Tillman Franks,Country,16,40,3.478571429
Sally Don't You Grieve,Woody Guthrie / Cisco Houston,1996,Woody Guthrie,Folk,1,8,3
Gbe Kini Ohun De,King Sunny Ade,2003,None,None,1,0,4
Little Martha,Leo Kottke,1986,Duane Allman,Folk,3,18,2.333333333
Gebet nach dem Kanon/Prayer After the Canon/Prière après le Canon,Aquarius / Arvo Pärt,2016,Arvo Pärt,None,1,0,None
Gebet nach dem Kanon/Prayer After the Canon/Prière après le Canon,Aquarius / Arvo Pärt,2016,Arvo Pärt,None,1,0,None
Honky Tonkin',Hank Williams,1957,Hank Williams,Country,65,40,3.21025641
Honest I Do,Jimmy Reed,1960,Ewart Abner,Blues,52,39,3.5
General Motors: Futurama,Raymond Scott,2000,Raymond Scott,None,1,0,4.5
When Two Worlds Collide,Roger Miller,1969,Bill Anderson,Country,32,18,2.368181818
Turn on Your Love Light,"Bobby ""Blue"" Bland",1973,Brook Benton,R&B,28,0,5
Unhappy Anniversary,Loudon Wainwright III,1986,Loudon Wainwright III,Cynical/Sarcastic,2,0,4.5
Georgia Buck,Elizabeth Cotten,2013,Elizabeth Cotten,None,1,0,4
Loretta,Townes Van Zandt,1977,Townes Van Zandt,Country,10,15,3.633333333
Up Where We Belong,Royal Philharmonic Orchestra,1986,Per Gessle,Pop/Rock,8,0,5
Georgia on My Mind,Doc Severinsen,1967,Hoagy Carmichael,None,3,651,2.833333333
Georgia Railroad,Norman Blake,1992,Norman Blake,None,1,0,3
"Overture to Candide, for orchestra",Leonard Bernstein / The Orchestra,1941,Leonard Bernstein,Classical,1,7,1.7
Gesu Bambino,Liberace,2005,Traditional,None,12,0,3
Get a Horse,Rodney Dangerfield,1990,Rodney Dangerfield,None,3,0,3.166666667
Shaving Cream,Dr. Demento,1980,Benny Bell,Happy,2,7,1.25
Get It While It's Hot,Arrow,1992,None,None,3,0,None
Get Lost,Eric Clapton / Sasha & John Digweed,2000,None,None,1,0,3
John Hardy Was a Desperate Little Man,The Carter Family,1993,A.P. Carter,Folk,18,6,1
Can't Let Go,Lucinda Williams,1998,Randy Weeks,Country,8,17,2.3
Up Where We Belong,Royal Philharmonic Orchestra,1986,Per Gessle,Pop/Rock,8,0,4.8
My Heart Skips a Beat,Buck Owens,1966,Buck Owens,Country,17,15,3.871428571
Cuban Mambo,Xavier Cugat,1958,Xavier Cugat,Jazz,10,7,2.8
Sunday Mornin' Comin' Down,Kris Kristofferson,1970,Kris Kristofferson,Country,10,15,3.8
Gettin' Used to Leavin',Christine Lavin,1986,Christine Lavin,None,1,0,4.5
Getting Used to Leavin',Christine Lavin,1991,Christine Lavin,None,1,0,3
Ghost Riders in the Sky,Riders in the Sky,1979,Stan Jones,Country,6,156,4.3
Ghostbusters,Kidz Bop Kids,2004,"Ray Parker, Jr.",None,12,54,2.833333333
Ghosts of the Good Old Days,John McCutcheon,2002,Si Kahn,None,2,0,3.75
Ghosts of the Good Old Days,John McCutcheon,2002,Si Kahn,None,2,0,3.75
Gilli Men,Baaba Maal,2016,None,None,1,0,3.5
"Farewell, Angelina",Joan Baez,1965,Bob Dylan,Folk,12,17,2.25
Ginseng Sullivan,Norman Blake,1972,Norman Blake,Country,2,3,4.3
The Sweetheart Tree,Henry Mancini,1965,Henry Mancini,Easy,13,15,3.888888889
Guess Things Happen That Way,Johnny Cash,1958,Jack Clement,Country,116,39,3.163636364
Semper Fidelis,Boston Pops Orchestra / Arthur Fiedler,1962,John Philip Sousa,Easy,3,38,3.5
Semper Fidelis,Boston Pops Orchestra / Arthur Fiedler,1962,John Philip Sousa,Easy,3,38,3.5
Faded Love,Bob Wills,1957,Bob Wills,Country,11,38,3.157142857
Girl Shoes,The Chenille Sisters,1988,Cheryl Dawdy,None,1,0,4
Girls Night Out,The Judds,1984,Jeffrey Hawthorne Bullock,Country,9,4,4.05
Gitana,Willie Colón,2020,Jose Ortega,None,190,0,None
Long Gone Lonesome Blues,Hank Williams,1961,Hank Williams,Country,60,38,3.332258065
All Your Love (I Miss Loving),Otis Rush,1968,Otis Rush,Blues,22,14,4
Give a Little Whistle,"Cliff ""Ukelele Ike"" Edwards / Dick Jones",1992,Leigh Harline,None,3,34,4.5
Amor de Mis Amores,Agustín Lara,1990,María Teresa Lara,International,14,14,3.666666667
Give It up or Turn It Loose,Dick Hyman,1969,Charles Bobbit,None,6,5,4.25
Give Me Heaven,Larry Heard,2000,Larry Heard,None,2,0,2.5
Give Me Your Word,Tennessee Ernie Ford,1991,Bennie Benjamin,None,26,0,3.75
Daddy Frank (The Guitar Man),Merle Haggard,1972,Merle Haggard,Country,56,7,2.742857143
Give Us a Song,Jonathan Edwards,1972,Jonathan Edwards,None,2,0,4
Give Us Your Blessings,Ruth White,2013,Red Grammer,None,1,0,4
Giyani,Johnny Clegg,2001,None,None,1,0,None
Glad Ot Have a Friend Like You,Marlo Thomas,1974,Carol Hall,None,1,0,5
"Variations II, for any number of players & any sound producing means",John Cage,1999,Christian Wolff,Avant-Garde,1,6,1.5
Glissandi,György Ligeti,Unknown,György Ligeti,None,1,0,4.5
Glissandi,György Ligeti,Unknown,György Ligeti,None,1,0,4.5
Gloria,Anonymous 4,1992,Steve Reich,None,2,0,3
Gloria,Anonymous 4,1992,None,None,2,0,3
Upendi,Liz Callaway / Robert Guillaume / Ladysmith Black Mambazo / Gene Miller,1998,Randy Petersen,Rousing,2,0,4.5
Glorious Day (Living He Loved Me),Casting Crowns,2010,Michael Bleecker,None,4,3,2.75
"Glory, Glory",Odetta,1967,None,None,6,0,3
Go Cubs Go (WGN Radio's Cubs Theme),Steve Goodman,1984,Steve Goodman,None,3,0,4.5
Go Kindergarten,The Lonely Island,2013,Justin Davey,None,1,1,3.5
Go Leave,Kate & Anna McGarrigle,1975,Kate McGarrigle,Folk,2,7,3.25
Daddy Frank (The Guitar Man),Merle Haggard,1972,Merle Haggard,Country,56,7,2.742857143
Calle Luna Calle Sol,Willie Colón / Héctor Lavoe,1974,Willie Colón,Laid-Back/Mellow,42,14,3.8
Take This Hammer,Odetta,1957,Traditional,Blues,4,38,3.166666667
Muerte del Angel,Astor Piazzolla,1962,Astor Piazzolla,International,14,37,3.5
"Wassail Song (""Here We Come A-Wassailing""), carol",Canadian Brass,2003,John Mason Neale,Easy,1,0,4.5
Go Rest High On That Mountain,Vince Gill,1994,Vince Gill,Religious,20,37,3.333333333
Dark-Eyed Sailor,Steeleye Span,1970,Traditional,Sentimental,7,14,3.857142857
Go Your Way My Love,Bert Jansch,Unknown,Anne Briggs,None,5,2,4
God Bless,Lamb,1996,Andrew Barlow,Electronic,2,0,3.4
God Bless America,National Philharmonic Orchestra / Leontyne Price,1982,Irving Berlin,None,1,177,3
Bouquet of Roses,Eddy Arnold,1948,Bob Hilliard,Country,34,36,3.038095238
"God Is Alive, Magic Is Afoot",Buffy Sainte-Marie,1970,Leonard Cohen,None,4,1,4.375
God Rest Ye Merry Gentlemen,Julie Andrews,1968,Traditional,None,9,1017,3.333333333
Lavender Blue (Dilly Dilly),Burl Ives,1949,Eliot Daniel,Folk,12,17,2.428571429
"God rest ye merry, gentlemen",Herbert von Karajan / Leontyne Price,1961,Traditional,None,2,1017,None
Watermelon,The Jolly Boys,1989,None,International,1,0,4.5
God Rest You Merry Gentlemen,King's College Choir of Cambridge,1984,Traditional,Soothing,5,57,4.3
"God Rest You Merry, Gentlemen (English)",Leontyne Price,1990,Traditional,None,2,108,4.5
Gypsy Davy,Woody Guthrie,1977,Woody Guthrie,Folk,18,6,1.821428571
God's Gift Ot Women,The Chenille Sisters,2007,Cheryl Dawdy,None,1,0,None
Farolito,Agustín Lara,1990,Agustín Lara,International,26,36,3.5
Go-Go Round,Gordon Lightfoot,1967,Gordon Lightfoot,Pop/Rock,13,2,4.428571429
Goin' Back to Harlan,Anna McGarrigle / Kate McGarrigle / Kate & Anna McGarrigle,1998,Anna McGarrigle,None,1,4,4.5
"Goin' Home (from Symphony No. 9 'From The New World', Op. 95, B. 17B)",Yo-Yo Ma / Kathryn Stott,2020,William Arms Fisher,None,1,3,4.5
Goin' to Chicago,Jimmy Witherspoon,1963,Count Basie,None,10,23,3.166666667
"Nutcracker, ballet, Op. 71~Waltz of the Flowers",Eugene Ormandy,1924,Pyotr Il'yich Tchaikovsky,Classical,2,17,2.35
Worried Man Blues,Woody Guthrie,1964,Woody Guthrie,Folk,18,6,1.769230769
Linda on My Mind,Conway Twitty,1974,Conway Twitty,Country,74,7,2.963043478
Going Down to Town,Mike & Peggy Seeger,1977,Jean-Michel Jarre,None,1,0,4
Stop the World (And Let Me Off),Patsy Cline,1965,Carl Belew,Country,67,16,2.414285714
Going Over the Sea,"Sharon, Lois & Bram",1990,Traditional,None,3,0,3
"Going Up to the Country, Paint My Mailbox Blue",Taj Mahal,1968,Taj Mahal,Blues,11,1,4.2
"Gold, film score~Gold (Main titles)",Elmer Bernstein / Don Black,Unknown,Elmer Bernstein,None,1,0,None
"Gold, film score~Gold (Main titles)",Elmer Bernstein / Don Black,Unknown,Elmer Bernstein,None,1,0,None
Goldberg Variations Bwv 988 I. Aria,Glenn Gould,2014,Johann Sebastian Bach,None,1,0,None
Goldberg Variations Bwv 988: Aria-Da Capo,Glenn Gould,2012,Wolfgang Amadeus Mozart,None,2,0,None
"Goldberg Variations, BWV 988: Aria",Glenn Gould,1942,Johann Sebastian Bach,Classical,2,16,3.2
"Goldberg Variations, BWV 988: Aria Da Capo",Glenn Gould,2002,Johann Sebastian Bach,None,2,7,4.5
"Goldberg Variations, BWV 988; Variation 1 a 1 Clav.",Glenn Gould,2012,Johann Sebastian Bach,None,1,0,None
"Goldberg Variations, BWV 988~Variation 10 a 1 Clav. Fughetta",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 15 a 1 Clav. Canone alla Quinta. Andante",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 25 a 2 Clav.",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 3 a 1 Clav. Canone all' Unisuono",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 30 a 1 Clav. Quodlibet",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 6 a 1 Clav. Canone alla Seconda",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations, BWV 988~Variation 9 a 1 Clav. Canone alla Terza",Glenn Gould,2014,Johann Sebastian Bach,None,1,0,4.5
"Goldberg Variations; BWV 988, Variation 30 a 1 Clav. Quodlibet",Glenn Gould,2016,Alex Somers,None,1,0,None
Golden Ring,Emmylou Harris / Kate & Anna McGarrigle / Linda Ronstadt,2007,Bobby Braddock,None,1,18,4.5
Everybody Loves the Sunshine,Roy Ayers,1993,Roy Ayers,Jazz,33,35,3.358823529
